Chinese,Nvshu
随风潜入夜润物细无声,𛉅𛋆𛋳𛇄𛇩𛇁𛇵𛅿𛇯𛉂
野径云俱黑江船火独明,𛇩𛊝𛉍𛋔𛋚𛈌𛈒𛆕𛋥𛇾
晓看红湿处花重锦官城,𛆿𛆣𛉢𛊗𛈫𛈣𛊪𛆻𛇕𛈒
朝辞白帝彩云间千里江陵一日还,𛅾𛋳𛇪𛅹𛉝𛉍𛆃𛆉𛉄𛈌𛉹𛅰𛇈𛇐
两岸猿声啼不住轻舟已过万重山,𛆇𛈀𛉍𛉂𛊹𛆳𛇭𛊯𛆝𛆱𛉘𛈄𛊪𛇏
丙辰中秋欢饮达旦,𛇛𛋙𛈌𛉩𛊧𛋡𛋥𛉄
大醉作此篇兼怀子由,𛅻𛆍𛈱𛇠𛈐𛉿𛈝𛆑𛊢
明月几时有把酒问青天,𛇾𛇃𛆺𛆸𛈶𛉎𛊟𛉟𛊭𛆤
不知天上宫阙今夕是何年,𛆳𛆍𛆤𛆈𛈌𛉛𛆭𛅿𛆹𛇮𛆥
我欲乘风归去又恐琼楼玉宇高处不胜寒,𛈻𛇄𛋙𛋆𛈘𛇂𛇁𛊩𛊝𛈰𛉚𛅷𛋂𛈫𛆳𛋐𛊨
起舞弄清影何似在人间,𛆻𛅷𛊚𛊭𛈇𛇮𛊝𛇥𛅳𛆃
转朱阁低绮户照无眠,𛋺𛉙𛉦𛆒𛆱𛆖𛉓𛇯𛊬
不应有恨何事长向别时圆,𛆳𛆱𛈶𛊲𛇮𛆹𛈽𛆈𛊎𛆸𛆧
人有悲欢离合月有阴晴圆缺此事古难全,𛅳𛈶𛊰𛊧𛊎𛈩𛇃𛈶𛆱𛊭𛆧𛉛𛇠𛆹𛇰𛈷𛈆
但愿人长久千里共婵娟,𛉻𛋟𛅳𛈽𛆆𛆉𛉄𛈌𛊥𛊵
蒹葭苍苍白露为霜,𛉿𛉊𛉱𛉱𛇪𛋗𛊄𛈊
所谓伊人在水一方,𛈂𛆨𛆱𛅳𛇥𛅸𛆼𛆠
溯洄从之道阻且长,𛈂𛇳𛋳𛆷𛋛𛊽𛊴𛈽
溯游从之宛在水中央,𛈂𛊢𛋳𛆷𛆨𛇥𛅸𛈌𛈍
关关雎鸠在河之洲,𛈘𛈘𛊐𛇲𛇥𛊕𛆷𛆝
窈窕淑女君子好逑,𛊺𛉑𛊼𛆁𛊵𛆑𛇉𛆝
参差荇菜左右流之,𛉾𛊾𛊁𛈠𛇍𛇁𛇋𛆷
窈窕淑女寤寐求之,𛊺𛉑𛊼𛆁𛈕𛋉𛆝𛆷
蒹葭萋萋白露未晞,𛉿𛉊𛉱𛉱𛇪𛋗𛆨𛈊
所谓伊人在水之湄,𛈂𛆨𛆱𛅳𛇥𛅸𛆷𛆠
溯洄从之道阻且跻,𛈂𛇳𛈽𛈤𛋛𛊽𛇠𛈽
溯游从之宛在水中坻,𛈂𛊢𛈽𛈤𛈄𛇥𛅸𛈌𛈍
蒹葭采采白露未已,𛉿𛉊𛇦𛇦𛇪𛋗𛆨𛆱
所谓伊人在水之涘,𛈂𛆨𛆱𛅳𛇥𛅸𛈤𛊿
溯洄从之道阻且右,𛈂𛇳𛈽𛈤𛋛𛊽𛇠𛇁
溯游从之宛在水中沚,𛈂𛊢𛈽𛈤𛈄𛇥𛅸𛈌𛆑
求之不得寤寐思服,𛆝𛈤𛆳𛋀𛉍𛋉𛊸𛆖
悠哉悠哉辗转反侧,𛇁𛊳𛇁𛊳𛇆𛋺𛇑𛆹
参差荇菜左右采之,𛉾𛈟𛊁𛈠𛇍𛇁𛇦𛈤
窈窕淑女琴瑟友之,𛊺𛉑𛊼𛆁𛊝𛈯𛈶𛈤
参差荇菜左右芼之,𛉾𛈟𛊁𛈠𛇍𛇁𛇷𛈤
窈窕淑女钟鼓乐之,𛊺𛉑𛊼𛆁𛈌𛇰𛋧𛈤
富贵不能淫贫贱不能移,𛆖𛋫𛆳𛈷𛆰𛊘𛋋𛆳𛈷𛊺
威武不能屈此之谓大丈夫,𛆨𛇯𛆳𛈷𛆩𛇠𛆷𛆨𛅻𛊪𛆔
安得广厦千万间大庇天下寒士俱欢颜,𛊃𛋀𛊦𛋶𛆉𛈄𛆃𛅻𛇞𛆤𛅽𛊨𛆹𛋔𛊧𛈕
风雨不动安如山,𛋆𛇯𛆳𛆒𛊃𛇄𛇏
故天将降大任于是人也必先苦其心志,𛉘𛆤𛈼𛈼𛅻𛊉𛆱𛆹𛅳𛇁𛉎𛇚𛇰𛊻𛇹𛊝
劳其筋骨饿其体肤,𛈰𛊻𛆭𛆐𛊃𛊻𛋒𛆔
空乏其身行拂乱其所为,𛉲𛆐𛊻𛈛𛇐𛇮𛋈𛊻𛈂𛊄
所以动心忍性曾益其所不能,𛈂𛆱𛆒𛇹𛅺𛉾𛋳𛇩𛊻𛈂𛆳𛈷
虽有嘉肴弗食不知其旨也,𛉅𛈶𛈅𛊺𛆖𛊼𛆳𛆍𛊻𛆑𛇁
虽有至道弗学不知其善也,𛉅𛈶𛊝𛋛𛆖𛉬𛆳𛆍𛊻𛋌𛇁
是故学然后知不足教然后知困,𛆹𛉘𛉬𛈔𛇌𛆍𛆳𛇭𛆝𛈔𛇌𛆍𛋫
知不足然后能自反也,𛆍𛆳𛇭𛈔𛇌𛈷𛈤𛇑𛇁
知困然后能自强也,𛆍𛋫𛈔𛇌𛈷𛈤𛊻𛇁
故日教学相长也,𛉘𛇈𛆝𛉬𛉵𛇗𛇁
风声雨声读书声声声入耳,𛋆𛉂𛇯𛉂𛋥𛈬𛉂𛉂𛉂𛅱𛅺
国事家事天下事事事关心,𛈅𛅵𛉊𛅵𛆤𛅽𛅵𛅵𛅵𛇕𛇹
事能知足心常乐,𛅵𛈷𛆍𛇭𛇺𛈾𛋧
人到无求品自高,𛅳𛇼𛇯𛆝𛉞𛈤𛋂
不飞则己一飞冲天,𛆳𛆌𛈤𛆺𛆼𛆌𛉣𛆤
不鸣则己一鸣惊人,𛆳𛇾𛈤𛆺𛆼𛇾𛋭𛅳
博学之审问之慎思之,𛉖𛉬𛈤𛈛𛋆𛈤𛉍𛊸𛈤
明辨之笃行之,𛇾𛆦𛈤𛅼𛇐𛈤
宝剑锋从磨砺出,𛉎𛇝𛆠𛋳𛇀𛇟𛈚
梅花香白苦寒来,𛊬𛈣𛉶𛇪𛇰𛊨𛇤
非淡泊无以明志,𛆌𛋠𛉖𛇯𛆱𛇾𛊝
非宁静无以致远,𛆌𛉀𛉽𛇯𛆱𛊝𛋟
路曼曼其修远兮,𛋗𛉟𛉟𛊻𛉪𛋟𛆩
吾将上下而求索,𛇯𛈼𛆈𛅽𛇈𛆝𛈂
执子之手与子偕老,𛊐𛆑𛆷𛆞𛆱𛆑𛈩𛇽
少年易老学难成,𛆿𛆥𛆱𛇼𛉬𛈷𛈒
一寸光阴不可轻,𛆼𛆄𛇕𛆱𛆳𛆄𛊯
投我以木桃报之以琼瑶,𛇊𛈻𛆱𛇀𛊤𛇣𛆷𛆱𛊝𛊺
高山仰止景行行止,𛋂𛇏𛉯𛅹𛇆𛇐𛇐𛅹
万事如意一帆风顺,𛈄𛅵𛇄𛆱𛆼𛊘𛋆𛊍
琴瑟在御莫不静好,𛊝𛈯𛇥𛇄𛋖𛆳𛉽𛇉
伯牙善鼓琴钟子期善听,𛇫𛊢𛋌𛇰𛊝𛈌𛆑𛊻𛋌𛇜
伯牙鼓琴志在高山,𛇫𛊢𛇰𛊝𛊝𛇥𛋂𛇏
钟子期曰善哉峨峨兮若泰山,𛈌𛆑𛊻𛆴𛋌𛇝𛊢𛊢𛊼𛇁𛆎𛇏
志在流水善哉洋洋兮若江河,𛊝𛇥𛇋𛅸𛋌𛇝𛈿𛈿𛊼𛇁𛈌𛊕
水陆草木之花可爱者甚蕃,𛅸𛋗𛉤𛇀𛈤𛈣𛆄𛋨𛈖𛋐𛆠
晋陶渊明独爱菊,𛈁𛊤𛋟𛇾𛋥𛋨𛊐
自李唐来世人甚爱牡丹,𛈤𛉄𛊤𛇤𛆓𛅳𛋐𛋨𛇀𛈁
予独爱莲之出淤泥而不染,𛇄𛋥𛋨𛉹𛈤𛈚𛆱𛈥𛇈𛆳𛆱
濯清涟而不妖,𛆃𛊭𛉹𛇈𛆳𛆱
中通外直不蔓不枝,𛈌𛉭𛇒𛋔𛆳𛈚𛆳𛈤
香远益清亭亭净植,𛉶𛋟𛇩𛊭𛊭𛊭𛉽𛉓
可远观而不可亵玩焉,𛆄𛋟𛇕𛇈𛆳𛆄𛊗𛉝𛊂
予谓菊花之隐逸者也,𛇄𛆨𛊐𛈣𛈤𛋡𛋤𛈖𛇁
牡丹花之富贵者也,𛇀𛈁𛈣𛈤𛆖𛋫𛈖𛇁
莲花之君子者也,𛉹𛈣𛈤𛊵𛆑𛈖𛇁
噫菊之爱陶后鲜有闻,𛆱𛊐𛈤𛋨𛊤𛇌𛇚𛈶𛇷
莲之爱同予者何人,𛉹𛈤𛋨𛊤𛇄𛈖𛇮𛅳
牡丹之爱宜乎众矣,𛇀𛈁𛈤𛋨𛅺𛇰𛊪𛆼
君子以文会友,𛊵𛆑𛆱𛆂𛋶𛈶
学而不思则罔思而不学则殆,𛉬𛇈𛆳𛊸𛈤𛋪𛊸𛇈𛆳𛉬𛈤𛅻
鱼我所欲也熊掌亦我所欲也,𛊢𛈻𛈂𛇁𛇁𛈾𛇗𛇁𛈻𛈂𛇁𛇁
二者不可得兼舍鱼而取熊掌者也,𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛊢𛇈𛉛𛈾𛇗𛈖𛇁
生亦我所欲也义亦我所欲也,𛇏𛇁𛈻𛈂𛇁𛇁𛅺𛇁𛈻𛈂𛇁𛇁
二者不可得兼舍生而取义者也,𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛇏𛇈𛉛𛅺𛈖𛇁
有朋自远方来不亦乐乎,𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰
君子成人之美,𛊵𛆑𛈒𛅳𛆷𛋪
温故知新知者乐水,𛆙𛇰𛆍𛊛𛇟𛈖𛋧𛅸
仁者乐山知者动,𛅳𛈖𛋧𛇏𛇟𛈖𛆒
仁者静知者乐仁者寿,𛅳𛈖𛉽𛇟𛈖𛋧𛅳𛈖𛉬
敏而好学不耻下问,𛋉𛇈𛆚𛉬𛆳𛆸𛅽𛋆
见贤思齐见不贤而内自省也,𛇝𛊁𛊸𛉑𛇝𛆳𛊁𛇈𛆫𛈤𛊜𛇁
士不可以不弘毅任重而道远,𛆹𛆳𛆄𛆱𛆳𛉢𛅺𛊉𛊻𛇈𛋛𛋟
博学于文约之以礼,𛉖𛉬𛆱𛆂𛆴𛆷𛆱𛅹
不积跬步无以至千里,𛆳𛊈𛊵𛉖𛇯𛆱𛊝𛆉𛉄
不积小流无以成江海,𛆳𛊈𛅿𛇋𛇯𛆱𛈒𛈌𛉝
岁寒然后知松柏之后凋也,𛊮𛊨𛋋𛇌𛆍𛉵𛇫𛆷𛇌𛆍𛇁
千里之行始于足下,𛆉𛉄𛆷𛇐𛇴𛆱𛇭𛅽
无冥冥之志者无昭昭之明,𛇯𛇾𛇾𛆷𛊝𛈖𛇯𛋔𛋔𛆷𛇾
无惛惛之事者无赫赫之功,𛇯𛆙𛆙𛆷𛅵𛈖𛇯𛆙𛆙𛆷𛇕
精诚所至金石为开,𛉽𛈒𛈂𛊝𛆭𛊍𛊄𛇶
道可道非常道,𛋛𛆄𛋛𛆌𛈾𛋛
名可名非常名,𛇾𛆄𛇾𛆌𛈾𛇾
知人者智自知者明,𛆍𛅳𛈖𛊝𛈤𛆍𛈖𛇾
言必信行必果,𛈔𛉎𛉡𛇐𛉎𛇰
学⽽时习之不亦说乎,𛉬𛇈𛆸𛆓𛆷𛆳𛇁𛋶𛇰
有朋自远方来不亦乐乎,𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰
人不知而不愠不亦君子乎,𛅳𛆳𛆍𛇈𛆳𛇩𛆳𛇁𛊵𛆑𛇰
吾日三省吾身,𛇯𛇈𛆊𛊜𛇯𛈛
为人谋而不忠乎,𛊄𛅳𛉟𛇈𛆳𛈌𛇰
与朋友交而不信乎,𛇄𛊘𛈶𛆝𛇈𛆳𛉡𛇰
上善若水,𛆈𛋌𛇁𛅸
钟山风雨起苍黄,𛈌𛇏𛋆𛇯𛆻𛉱𛊨
百万雄师过大江,𛇫𛈄𛈾𛊸𛉘𛅻𛈌
虎踞龙盘今胜昔,𛇰𛆻𛉴𛋅𛆭𛋐𛊈
天翻地覆慨而慷,𛆤𛆠𛊤𛋷𛊙𛇈𛉲
宜将剩勇追穷寇,𛅺𛈼𛋐𛈈𛊋𛊝𛆄
不可沽名学霸王,𛆳𛆄𛇰𛇾𛉬𛇲𛆧
传天若有情天亦老,𛈆𛆤𛇁𛈶𛊭𛆤𛇁𛇼
人间正道是沧桑,𛅳𛆃𛇆𛋛𛆹𛇴𛈊
山快马加鞭未下鞍,𛇏𛇨𛇀𛉊𛇙𛆨𛅽𛊃
惊回首离天三尺三,𛇆𛇳𛆞𛊎𛆤𛆊𛅼𛆊
山倒海翻江卷巨澜,𛇏𛇼𛉝𛆌𛈌𛉉𛇭𛊎
奔腾急万马战犹酣,𛋆𛆒𛊐𛈄𛇀𛊪𛊢𛈪
山刺破青天锷未残,𛇏𛇠𛉖𛊭𛆤𛈌𛆨𛉒
天欲堕赖以拄其间,𛆤𛇁𛅻𛉘𛆱𛇭𛊻𛆃
挥手从兹去,𛆌𛆞𛋳𛈤𛇂
更那堪凄然相向,𛋫𛇾𛉲𛋴𛈔𛉵𛆈
苦情重诉,𛇰𛊭𛊻𛉅
眼角眉梢都似恨,𛋵𛉫𛇓𛈨𛋗𛊝𛊲
热泪欲零还住,𛈥𛇟𛇁𛉀𛇐𛇭
知误会前番书语,𛆍𛊃𛋶𛋋𛆠𛈬𛅺
过眼滔滔云共雾,𛉘𛋵𛋃𛋃𛉍𛈌𛉍
算人间知己吾和汝,𛆢𛅳𛆃𛆍𛆺𛇯𛇯𛋆
记得当年草上飞,𛉓𛋀𛉰𛆥𛉤𛆈𛆌
红军队里每相违,𛉢𛊵𛆬𛉄𛉟𛉵𛊄
长征不是难堪日,𛈽𛆭𛆳𛆹𛈷𛉲𛇈
战锦方为大问题,𛊪𛆻𛆠𛊄𛅻𛋆𛊹
斥鷃每闻欺大鸟,𛆸𛊂𛉟𛇷𛊼𛅻𛋒
昆鸡长笑老鹰非,𛋙𛋔𛈽𛅿𛇼𛈡𛆌
君今不幸离人世,𛊵𛆭𛆳𛇐𛊎𛅳𛆓
国有疑难可问谁,𛈅𛈶𛅺𛈷𛆄𛋆𛉅
我失骄杨君失柳,𛈻𛊼𛆝𛈿𛊵𛊼𛇋
杨柳轻飏直上重霄九,𛈿𛇋𛊯𛈿𛋔𛆈𛊪𛇮𛆆
问讯吴刚何所有,𛋆𛉡𛊢𛇕𛇮𛈂𛈶
吴刚捧出桂花酒,𛊢𛇕𛊘𛈚𛋫𛈣𛆆
寂寞嫦娥舒广袖,𛋔𛇀𛈾𛊢𛈬𛊦𛉋
万里长空且为忠魂舞,𛈄𛉄𛈽𛉲𛇠𛊄𛈌𛆙𛇯
忽报人间曾伏虎,𛋷𛇣𛅳𛆃𛋳𛆖𛇰
泪飞顿作倾盆雨,𛇟𛆌𛆬𛈱𛊯𛊘𛇯
红军不怕远征难,𛉢𛊵𛆳𛇲𛋟𛆭𛈷
万水千山只等闲,𛈄𛅸𛆉𛇏𛈤𛉠𛇐
五岭逶迤腾细浪,𛈕𛉼𛆭𛊺𛆒𛅿𛋈
乌蒙磅礴走泥丸,𛉍𛇓𛋅𛉖𛈖𛈥𛆨
金沙水拍云崖暖,𛆭𛊾𛅸𛇲𛉍𛊢𛈾
大渡桥横铁索寒,𛅻𛋥𛊻𛊄𛉐𛈂𛊨
更喜岷山千里雪,𛋫𛆻𛉋𛇏𛆉𛉄𛊗
三军过后尽开颜,𛆊𛊵𛉘𛇌𛈯𛇶𛈕
九嶷山上白云飞,𛆆𛅺𛇏𛆈𛇪𛉍𛆌
帝子乘风下翠微,𛅹𛆑𛋙𛋆𛅽𛇂𛊄
斑竹一枝千滴泪,𛊰𛊶𛆼𛈤𛆉𛆒𛇟
红霞万朵百重衣,𛉢𛉡𛈄𛉸𛇫𛊻𛈡
洞庭波涌连天雪,𛆒𛊭𛉖𛈍𛉹𛆤𛊗
长岛人歌动地诗,𛈽𛇼𛅳𛋸𛆒𛊤𛊸
我欲因之梦寥廓,𛈻𛇁𛆱𛆷𛋪𛅾𛋸
芙蓉国里尽朝晖,𛇮𛈿𛈅𛉄𛈯𛅾𛆌
人生易老天难老,𛅳𛇏𛆱𛇼𛆤𛈷𛇼
岁岁重阳今又重阳,𛊮𛊮𛊻𛈿𛆭𛇁𛊻𛈿
战地黄花分外香,𛊪𛊤𛊨𛈣𛆙𛇒𛉶
一年一度秋风劲,𛆼𛆥𛆼𛋥𛉩𛋆𛇝
不似春光胜似春光,𛆳𛊝𛊌𛇕𛋐𛊝𛊌𛇕
寥廓江天万里霜,𛅾𛋸𛈌𛆤𛈄𛉄𛈊
天高云淡望断南飞雁,𛆤𛋂𛉍𛋠𛈈𛋇𛉺𛆌𛊂
不到长城非好汉,𛆳𛇼𛈽𛈒𛆌𛆚𛊧
屈指行程二万,𛆩𛆑𛊨𛈆𛅱𛈄
六盘山上高峰,𛆜𛋅𛇏𛆈𛋂𛆠
红旗漫卷西风,𛉢𛊻𛇓𛉉𛈨𛋆
今日长缨在手,𛆭𛇈𛈽𛊫𛇥𛆞
何时缚住苍龙,𛇮𛆸𛆖𛇭𛉱𛉴
赤橙黄绿青蓝紫,𛇎𛋳𛊨𛆽𛊭𛋂𛆑
谁持彩练当空舞,𛉅𛋣𛉝𛈏𛉰𛉲𛇯
雨后复斜阳关山阵阵苍,𛇯𛇌𛋷𛊝𛈿𛈘𛇏𛋮𛋮𛉱
当年鏖战急弹洞前村壁,𛉰𛆥𛇿𛊪𛊐𛉻𛆒𛋋𛊌𛉎
装点此关山今朝更好看,𛈉𛉸𛇠𛈘𛇏𛆭𛅾𛋫𛆚𛆣
风雨送春归飞雪迎春到,𛋆𛇯𛉡𛊌𛈘𛆌𛊗𛋍𛊌𛇼
已是悬崖百丈冰犹有花枝俏,𛆱𛆹𛈒𛊢𛇫𛊪𛋆𛊢𛈶𛈣𛈤𛆞
俏也不争春只把春来报,𛆞𛇁𛆳𛋩𛊌𛈤𛊷𛊌𛇤𛇣
待到山花烂漫时她在丛中笑,𛅻𛇼𛇏𛈣𛋈𛇓𛆸𛆒𛇥𛋳𛈌𛅿
大雨落幽燕白浪滔天,𛅻𛇯𛋝𛇁𛊂𛇪𛋈𛋃𛆤
秦皇岛外打鱼船,𛉒𛊨𛇼𛇒𛋆𛊢𛈒
一片汪洋都不见知向谁边,𛆼𛇙𛈈𛈿𛋗𛆳𛇝𛆍𛆈𛉅𛇙
往事越千年魏武挥鞭,𛋟𛅵𛋒𛆉𛆥𛆨𛇯𛆌𛇙
东临碣石有遗篇,𛊚𛇇𛋓𛊍𛈶𛆱𛈐
萧瑟秋风今又是换了人间,𛇮𛈯𛉩𛋆𛆭𛇁𛆹𛊧𛅹𛅳𛆃
东方欲晓莫道君行早,𛊚𛆠𛇁𛆿𛇀𛋛𛊵𛇐𛈖
踏遍青山人未老,𛋥𛇙𛊭𛇏𛅳𛆨𛇼
风景这边独好,𛆠𛇆𛋔𛇙𛋥𛆚
会昌城外高峰,𛋶𛈾𛈒𛇒𛋂𛆠
颠连直接东溟,𛋊𛉹𛋔𛋓𛊚𛇾
战士指看南粤,𛊪𛆹𛆑𛆣𛉺𛇩
更加郁郁葱葱,𛋫𛉊𛋍𛋍𛋴𛋴
子在川上曰逝者如斯夫,𛆑𛇥𛊯𛆈𛆴𛆓𛈖𛇄𛊸𛆔
一桥飞架南北天堑变通途,𛆼𛊻𛆌𛉌𛉺𛉜𛆤𛆉𛆦𛉭𛋥
更立西江石壁,𛋫𛇟𛈨𛈌𛊍𛉎
截断巫山云雨高峡出平湖,𛋓𛋇𛉍𛇏𛉍𛇯𛋂𛊗𛈚𛆦𛋘
神女应无恙当惊世界殊,𛋙𛆁𛊉𛇯𛈌𛉰𛋭𛆓𛆄𛋙
才饮长沙水又食武昌鱼,𛆏𛋡𛈽𛊾𛅸𛇁𛊼𛇯𛈾𛊢
万里长江横渡极目楚天舒,𛈄𛉄𛈽𛈌𛊄𛋥𛋔𛇀𛉤𛆤𛈬
不管风吹浪打胜似闲庭信步,𛆳𛊦𛋆𛆪𛋈𛋆𛋐𛊝𛇐𛊭𛉡𛉖
今日得宽馀,𛆭𛇈𛋀𛉲𛇄
壁上红旗飘落照西风漫卷孤城,𛉎𛆈𛉢𛊻𛅶𛋝𛉓𛈨𛋆𛇓𛉉𛋰𛈒
保安人物一时新,𛉎𛊃𛅳𛇵𛆼𛆸𛊛
洞中开宴会招待出牢人,𛆒𛈌𛇶𛊂𛋶𛋔𛅻𛈚𛈰𛅳
纤笔一枝谁与似,𛆉𛇞𛆼𛈤𛉅𛆱𛊝
三千毛瑟精兵,𛆊𛆉𛇷𛈯𛉽𛈐
阵图开向陇山东,𛋮𛋥𛇶𛆈𛉒𛇏𛊚
昨天文小姐今日武将军,𛈱𛆤𛆂𛅿𛈖𛆭𛇈𛇯𛈼𛊵
三上北高峰杭州一望空,𛆊𛆈𛉜𛋂𛆠𛊨𛆝𛆼𛈈𛉲
飞凤亭边树桃花岭上风,𛆌𛋹𛊭𛇙𛋙𛊤𛈣𛉼𛆈𛋆
热来寻扇子冷去对美人,𛈥𛇤𛋳𛋌𛆑𛉼𛇂𛆬𛋪𛅳
一片飘飘下欢迎有晚莺,𛆼𛇙𛅶𛅶𛅽𛊧𛋍𛈶𛆨𛆰
一下二三里青村四五家,𛅰𛅽𛅱𛆊𛉄𛊭𛊌𛈗𛈕𛉊
楼台六七座八九十枝花,𛈰𛅻𛆜𛅲𛈱𛅴𛆆𛆹𛈤𛈣
锄禾日当午汗滴禾下土,𛉗𛇯𛇈𛉰𛈕𛊧𛆒𛇯𛅽𛊔
安知盘中餐粒粒皆辛苦,𛊃𛇟𛋅𛈌𛉱𛆍𛆍𛇧𛇹𛇰
床前明月光门下白地霜,𛈉𛋋𛇾𛇃𛇕𛇷𛅽𛇪𛋇𛈊
夜起望明月低头思故乡,𛇩𛆻𛈈𛇾𛇃𛅾𛇊𛊸𛉘𛉶
人家杀猪羊曲预向天歌,𛅳𛉊𛇦𛆽𛈿𛆶𛇃𛆈𛆤𛋰
白毛浮绿水红掌青叶子,𛇪𛇷𛊘𛆽𛅸𛉢𛇗𛊭𛆱𛆑
一年之计在与春一日之计在于晨,𛆼𛆥𛈤𛉓𛇥𛆱𛊌𛆼𛇈𛈤𛉓𛇥𛆱𛋙
一家之计在与和一生之计在于勤,𛆼𛉊𛈤𛉓𛇥𛆱𛇮𛆼𛇏𛈤𛉓𛇥𛆱𛊝
责人之心责己恕己之心恕人,𛋓𛅳𛈤𛇹𛋓𛆺𛆴𛆺𛈤𛇹𛆴𛅳
守口如瓶防御如城,𛆞𛇉𛇄𛇛𛋅𛆱𛇄𛈒
宁可负我切莫负人,𛉼𛆄𛆖𛈻𛈦𛉟𛆖𛅳
再三须重视第一莫欺心,𛇥𛆊𛈬𛊻𛆹𛆒𛆼𛉟𛇂𛊛
虎生犹可近人熟不堪亲,𛇰𛇏𛊢𛆄𛊝𛅳𛉬𛆳𛉲𛋴
来说是非者便是是非人,𛇤𛋶𛆹𛆌𛆆𛇙𛆹𛅵𛆌𛅳
远水难救近火远亲不如近邻,𛋟𛅸𛈷𛆝𛊝𛆕𛋟𛋴𛆳𛇄𛊝𛇇
风流何用穿衣多,𛆠𛇋𛇮𛈍𛊯𛆱𛈁
光阴似箭日月如梭,𛇕𛆱𛊝𛋋𛇈𛇃𛇄𛇏
天时不如地利地利不如人和,𛆤𛆸𛆳𛇄𛊤𛇟𛊤𛆍𛆳𛇄𛅳𛇯
黄金不为贵安福值钱多,𛊨𛆭𛆳𛊄𛋫𛊃𛆖𛋔𛋋𛈁
世上万般皆下品思量惟有读书高,𛆓𛆈𛆨𛈺𛉌𛅽𛉞𛊸𛉴𛊄𛈶𛋥𛈬𛋂
